area_name,gender,age,n
England,Males,0,318032
England,Males,1,330498
England,Males,2,341237
England,Males,3,351961
England,Males,4,351485
England,Males,5,354203
England,Males,6,362354
England,Males,7,372474
England,Males,8,364988
England,Males,9,358451
England,Males,10,353295
England,Males,11,356875
England,Males,12,346084
England,Males,13,338473
England,Males,14,324729
England,Males,15,320136
England,Males,16,312196
England,Males,17,308481
England,Males,18,317299
England,Males,19,329605
England,Males,20,343299
England,Males,21,350146
England,Males,22,363299
England,Males,23,368538
England,Males,24,367439
England,Males,25,379476
England,Males,26,378348
England,Males,27,386287
England,Males,28,397627
England,Males,29,391384
England,Males,30,383561
England,Males,31,385056
England,Males,32,372291
England,Males,33,380182
England,Males,34,379462
England,Males,35,367496
England,Males,36,369690
England,Males,37,368265
England,Males,38,371334
England,Males,39,372326
England,Males,40,359127
England,Males,41,335868
England,Males,42,330048
England,Males,43,334463
England,Males,44,340690
England,Males,45,345438
England,Males,46,360139
England,Males,47,374925
England,Males,48,383998
England,Males,49,374793
England,Males,50,382825
England,Males,51,382177
England,Males,52,388890
England,Males,53,385907
England,Males,54,387129
England,Males,55,383317
England,Males,56,373848
England,Males,57,365399
England,Males,58,351591
England,Males,59,335458
England,Males,60,326766
England,Males,61,319229
England,Males,62,305649
England,Males,63,294176
England,Males,64,281418
England,Males,65,279798
England,Males,66,275399
England,Males,67,264766
England,Males,68,265055
England,Males,69,267782
England,Males,70,274011
England,Males,71,286743
England,Males,72,309763
England,Males,73,235096
England,Males,74,224537
England,Males,75,220465
England,Males,76,199616
England,Males,77,173892
England,Males,78,152100
England,Males,79,154637
England,Males,80,148853
England,Males,81,139989
England,Males,82,127560
England,Males,83,115258
England,Males,84,103797
England,Males,85,89716
England,Males,86,79284
England,Males,87,70627
England,Males,88,60819
England,Males,89,50404
England,Males,90,166234
England,Females,0,300826
England,Females,1,313558
England,Females,2,324359
England,Females,3,334174
England,Females,4,333507
England,Females,5,336919
England,Females,6,344388
England,Females,7,355464
England,Females,8,347216
England,Females,9,341749
England,Females,10,336438
England,Females,11,338878
England,Females,12,327705
England,Females,13,322455
England,Females,14,309314
England,Females,15,304454
England,Females,16,295300
England,Females,17,290912
England,Females,18,301574
England,Females,19,310275
England,Females,20,324830
England,Females,21,329430
England,Females,22,343669
England,Females,23,346904
England,Females,24,350309
England,Females,25,361180
England,Females,26,364387
England,Females,27,379124
England,Females,28,384736
England,Females,29,378860
England,Females,30,379105
England,Females,31,386611
England,Females,32,380646
England,Females,33,380499
England,Females,34,380541
England,Females,35,373947
England,Females,36,377262
England,Females,37,376800
England,Females,38,377977
England,Females,39,378545
England,Females,40,362127
England,Females,41,336646
England,Females,42,331751
England,Females,43,338783
England,Females,44,344794
England,Females,45,351131
England,Females,46,365461
England,Females,47,380281
England,Females,48,394731
England,Females,49,384915
England,Females,50,393753
England,Females,51,392996
England,Females,52,396581
England,Females,53,398167
England,Females,54,399036
England,Females,55,394299
England,Females,56,384817
England,Females,57,374686
England,Females,58,361033
England,Females,59,346203
England,Females,60,337691
England,Females,61,329792
England,Females,62,317256
England,Females,63,305076
England,Females,64,294782
England,Females,65,295946
England,Females,66,290651
England,Females,67,283061
England,Females,68,284178
England,Females,69,290104
England,Females,70,295606
England,Females,71,311295
England,Females,72,335315
England,Females,73,258165
England,Females,74,248795
England,Females,75,245774
England,Females,76,227591
England,Females,77,201831
England,Females,78,179947
England,Females,79,184833
England,Females,80,180860
England,Females,81,172748
England,Females,82,161532
England,Females,83,150373
England,Females,84,138943
England,Females,85,125011
England,Females,86,114723
England,Females,87,106772
England,Females,88,96951
England,Females,89,85471
England,Females,90,351039
