period,area_code,area_name,gender,geography,age,n
2018-06-30,E00030827,E00030827,Persons,OA,0,2
2018-06-30,E00030828,E00030828,Females,OA,0,2
2018-06-30,E00030828,E00030828,Males,OA,0,1
2018-06-30,E00030828,E00030828,Persons,OA,0,3
2018-06-30,E00030829,E00030829,Females,OA,0,0
2018-06-30,E00030829,E00030829,Males,OA,0,2
2018-06-30,E00030829,E00030829,Persons,OA,0,2
2018-06-30,E00030830,E00030830,Females,OA,0,0
2018-06-30,E00030830,E00030830,Males,OA,0,2
2018-06-30,E00030830,E00030830,Persons,OA,0,2
2018-06-30,E00030831,E00030831,Females,OA,0,0
2018-06-30,E00030831,E00030831,Males,OA,0,2
2018-06-30,E00030831,E00030831,Persons,OA,0,2
2018-06-30,E00030832,E00030832,Females,OA,0,2
2018-06-30,E00030832,E00030832,Males,OA,0,1
2018-06-30,E00030832,E00030832,Persons,OA,0,3
2018-06-30,E00030833,E00030833,Females,OA,0,0
2018-06-30,E00030833,E00030833,Males,OA,0,0
2018-06-30,E00030833,E00030833,Persons,OA,0,0
2018-06-30,E00030834,E00030834,Females,OA,0,4
2018-06-30,E00030834,E00030834,Males,OA,0,4
2018-06-30,E00030834,E00030834,Persons,OA,0,8
2018-06-30,E00030835,E00030835,Females,OA,0,2
2018-06-30,E00030835,E00030835,Males,OA,0,2
2018-06-30,E00030835,E00030835,Persons,OA,0,4
2018-06-30,E00030836,E00030836,Females,OA,0,0
2018-06-30,E00030836,E00030836,Males,OA,0,0
2018-06-30,E00030836,E00030836,Persons,OA,0,0
2018-06-30,E00030837,E00030837,Females,OA,0,2
2018-06-30,E00030837,E00030837,Males,OA,0,0
2018-06-30,E00030837,E00030837,Persons,OA,0,2
2018-06-30,E00030838,E00030838,Females,OA,0,0
2018-06-30,E00030838,E00030838,Males,OA,0,1
2018-06-30,E00030838,E00030838,Persons,OA,0,1
2018-06-30,E00030839,E00030839,Females,OA,0,1
2018-06-30,E00030839,E00030839,Males,OA,0,2
2018-06-30,E00030839,E00030839,Persons,OA,0,3
2018-06-30,E00030840,E00030840,Females,OA,0,0
2018-06-30,E00030840,E00030840,Males,OA,0,2
2018-06-30,E00030840,E00030840,Persons,OA,0,2
2018-06-30,E00030841,E00030841,Females,OA,0,0
2018-06-30,E00030841,E00030841,Males,OA,0,3
2018-06-30,E00030841,E00030841,Persons,OA,0,3
2018-06-30,E00030842,E00030842,Females,OA,0,1
2018-06-30,E00030842,E00030842,Males,OA,0,1
2018-06-30,E00030842,E00030842,Persons,OA,0,2
2018-06-30,E00030843,E00030843,Females,OA,0,1
2018-06-30,E00030843,E00030843,Males,OA,0,3
2018-06-30,E00030843,E00030843,Persons,OA,0,4
2018-06-30,E00030844,E00030844,Females,OA,0,2
2018-06-30,E00030844,E00030844,Males,OA,0,1
2018-06-30,E00030844,E00030844,Persons,OA,0,3
2018-06-30,E00030845,E00030845,Females,OA,0,2
2018-06-30,E00030845,E00030845,Males,OA,0,1
2018-06-30,E00030845,E00030845,Persons,OA,0,3
2018-06-30,E00030846,E00030846,Females,OA,0,0
2018-06-30,E00030846,E00030846,Males,OA,0,0
2018-06-30,E00030846,E00030846,Persons,OA,0,0
2018-06-30,E00030847,E00030847,Females,OA,0,2
2018-06-30,E00030847,E00030847,Males,OA,0,3
2018-06-30,E00030847,E00030847,Persons,OA,0,5
2018-06-30,E00030848,E00030848,Females,OA,0,3
2018-06-30,E00030848,E00030848,Males,OA,0,2
2018-06-30,E00030848,E00030848,Persons,OA,0,5
2018-06-30,E00030849,E00030849,Females,OA,0,3
2018-06-30,E00030849,E00030849,Males,OA,0,2
2018-06-30,E00030849,E00030849,Persons,OA,0,5
2018-06-30,E00030850,E00030850,Females,OA,0,5
2018-06-30,E00030850,E00030850,Males,OA,0,5
2018-06-30,E00030850,E00030850,Persons,OA,0,10
2018-06-30,E00030851,E00030851,Females,OA,0,1
2018-06-30,E00030851,E00030851,Males,OA,0,7
2018-06-30,E00030851,E00030851,Persons,OA,0,8
2018-06-30,E00030853,E00030853,Females,OA,0,1
2018-06-30,E00030853,E00030853,Males,OA,0,4
2018-06-30,E00030853,E00030853,Persons,OA,0,5
2018-06-30,E00030854,E00030854,Females,OA,0,5
2018-06-30,E00030854,E00030854,Males,OA,0,1
2018-06-30,E00030854,E00030854,Persons,OA,0,6
2018-06-30,E00030855,E00030855,Females,OA,0,0
2018-06-30,E00030855,E00030855,Males,OA,0,1
2018-06-30,E00030855,E00030855,Persons,OA,0,1
2018-06-30,E00030856,E00030856,Females,OA,0,2
2018-06-30,E00030856,E00030856,Males,OA,0,4
2018-06-30,E00030856,E00030856,Persons,OA,0,6
2018-06-30,E00030857,E00030857,Females,OA,0,0
2018-06-30,E00030857,E00030857,Males,OA,0,0
2018-06-30,E00030857,E00030857,Persons,OA,0,0
